title	id	credits	description	prereq	coreq	notes	faculty	restrictions	terms	profs
AAAA 100	AAAA 100		AAAA				00	
Writing Creative Nonfiction.	WCOM 333	3	Production of original works of literary creative nonfiction in English. Advanced study and application of story telling techniques and craft elements used in forms such as the memoir essay, literary journalism, and the lyric essay. Indepth instruction in the nuanced use of structure, scene, narration, reflection, description, and researched information. Craft, analysis of published literary creative nonfiction essays, workshop-style critique, multiple drafts, and substantive revision.	CCOM 200 or WCOM 203 or permission of the Centre.			Faculty of Arts	Not open to students who have taken CCOM 323.
Selected Communication Topic 1	WCOM 371	3	Study of a selected topic in written and/or oral communication in English that is relevant to undergraduate students.			The content can vary from year to year and will be announced prior to registration.	Faculty of Arts
Selected Communication Topic 2	WCOM 372	3	Study of a selected topic in written and/or oral communication in English that is relevant to undergraduate students.			The content can vary from year to year and will be announced prior to registration.	Faculty of Arts
Advanced Communicating Science	WCOM 414	3	Use of digital platforms to produce written and oral assignments (in English) designed to communicate scientific challenges and findings to broad audiences. Rhetorical analysis of academic and popular genres including abstracts, researcher profiles, infographics, and serial and episodic podcasting.	CCOM 314 or WCOM 314 or permission of the Centre.			Faculty of Arts	Not open to students who have taken CCOM 414.
Digital Storytelling	WCOM 417	3	Analysis and application of digital storytelling strategiesthrough the production of long-form written and spokencontent for English-language audiences. Drafting,revision, concision, precision, and digital affordances inlong-form journalism, essays, and podcasts. Topicsinclude narrative structure, character development,accessibility, socio-technical analysis, and audioproduction.	CCOM 315 or WCOM 317, or permission of the Centre			Faculty of Arts
Business and Professional Communication	WCOM 550	3	Written and oral communication skills in English for business and professional purposes. Concepts and principles of effective written communication. Planning, composing, editing, and polishing documents of various lengths and formats; conventions of workplace correspondence; direct and indirect approaches to workplace messages; composing routine, persuasive, positive, and negative messages; planning and delivering effective presentations, including creating effective visuals.			WCOM 550 is designed for students with fluency in spoken and written English. Students for whom English is a second or additional language should take WCOM 555.	Faculty of Arts	Not open to students who have taken CCOM 550 or CESL 525; not open to students who have taken or are taking WCOM 555. Open to graduate students, and to undergraduate students in third or fourth year.
ESL: Business and Professional Communication	WCOM 555	3	Written and oral communication skills for business and professional purposes for students whose first language is not English. Concepts and principles of effective written communication. Planning, composing, editing, and polishing documents of various lengths and formats; conventions of workplace correspondence; direct and indirect approaches to workplace messages; composing routine, persuasive, positive, and negative messages; planning and delivering effective presentations, including creating effective visuals; strategies to address common English as Second Language (ESL) errors in grammar, syntax, and vocabulary.			WCOM 555 is designed for students for whom English is a second or additional language. Students whose first language is English should take WCOM 550.	Faculty of Arts	Open to graduate students, and to undergraduate students in third or fourth year. McGill Writing Centre ESL Placement Test required for admission. Not open to students who have taken CCOM 550 or CESL 525; not open to students who have taken or are taking WCOM 550.
Communicating Research to the Public	WCOM 624	1	Production of written assignments designed tocommunicate complex ideas and research problems andfindings to varied audiences in English. Analysis ofdiscursive academic and policy conventions in terms ofaudience, purpose, organization, and style for theirtranslation to non-specialist audiences, including thegeneral public and/or policymakers.			1. Grading in this course is pass/fail. | 2. Due to the condensed nature of this course, the standard add/drop and withdrawal deadlines do not apply.	Faculty of Arts
Communicating Research to the Digital Public	WCOM 627	1	Production of written and oral assignments designed tocommunicate complex ideas and research findingsthrough digital platforms in English. Creation of projectsthat may include lay audience abstracts, content creationon social media, and the production of infographics, andpodcasts.				Faculty of Arts
ESL: Strategies for Academic Communication	WCOM 635	1	Key language learning strategies for expressing complex ideas in academic writing across the disciplines. Corpus tools to identify collocations; strategies to build productive scholarly vocabulary; self-editing techniques to avoid common English-as-Second-Language (ESL) errors in grammar, syntax and mechanics.			Intended for graduate students whose first language is not English. | Grading in this course is pass/fail. | Due to the condensed nature of this course, the standard add/drop and withdrawal deadlines do not apply.	Faculty of Arts	Not open to students who have taken CESL 631.
Cornerstones of Academic Writing.	WCOM 642	1	Key strategies for scholarly communication across disciplines			Due to the condensed nature of this course, the standard add/drop and withdrawal deadlines do not apply. | Grading in this course is pass/fail.	Faculty of Arts	Not open to students who have taken CEAP 642. Only open to graduate students.
ESL: Fundamentals of Academic Writing	WCOM 645	1	Key strategies for academic writing across disciplines			Intended for graduate students whose first language is not English. | Grading in course is pass/fail. | Due to the condensed nature of this course, the standard add/drop and withdrawal deadlines do not apply.	Faculty of Arts	Not open to students who have taken CESL 641.
Fundamentals of Academic Presentations.	WCOM 652	1	Developing and delivering academic presentations, with emphasis on how to structure content, critically evaluate content, and use rhetorical devices to enhance clarity.			Intended for graduate students. | Grading in this course is pass/fail. | Due to the condensed nature of this course, the standard add/drop and withdrawal deadlines do not apply.	Faculty of Arts	Not open to students who have taken CEAP 652.
ESL: Pronunciation for Effective Communication.	WCOM 655	1	Pronunciation skills for effective communication in English about research and complex ideas in academic settings with emphasis on features of pronunciation that most affect intelligibility.			Intended for graduate students whose first language is not English. | Grading in this course is pass/fail. | Due to the condensed nature of this course, the standard add/drop and withdrawal deadlines do not apply.	Faculty of Arts	Not open to students who have taken CESL 651.
Literature Review 1: Summary and Critique	WCOM 661	1	Responsible and effective engagement with other scholars� work in order to summarize and critique research literature. Focus on economic use of language and techniques for mobilizing existing scholarship in service of an original research project.			Grading in this course is pass/fail. | Due to the condensed nature of this course, the standard add/drop and withdrawal deadlines do not apply.	Faculty of Arts	Not open to students who have taken CEAP 661.
